sensorID,Type,Location,Event,Time,Day
V-01,Rpi Camera,somehwere,1,11:26:52,22/05/22
V-01,Rpi Camera,somehwere,1,11:27:37,22/05/22
V-01,Rpi Camera,somehwere,0,11:27:44,22/05/22
V-01,Rpi Camera,somehwere,0,11:27:52,22/05/22
V-01,Rpi Camera,somehwere,1,11:27:59,22/05/22
V-01,Rpi Camera,somehwere,3,11:28:07,22/05/22
V-01,Rpi Camera,somehwere,0,11:28:14,22/05/22
V-01,Rpi Camera,somehwere,1,11:28:22,22/05/22
V-01,Rpi Camera,somehwere,2,11:28:29,22/05/22
V-01,Rpi Camera,somehwere,1,11:28:37,22/05/22
V-01,Rpi Camera,somehwere,1,11:28:45,22/05/22
V-01,Rpi Camera,somehwere,1,11:28:52,22/05/22
V-01,Rpi Camera,somehwere,1,11:29:00,22/05/22
V-01,Rpi Camera,somehwere,1,11:29:07,22/05/22
V-01,Rpi Camera,somehwere,1,11:29:15,22/05/22
V-01,Rpi Camera,somehwere,4,11:29:22,22/05/22
V-01,Rpi Camera,somehwere,4,11:29:30,22/05/22
V-01,Rpi Camera,somehwere,3,11:29:37,22/05/22
V-01,Rpi Camera,somehwere,0,11:29:45,22/05/22
V-01,Rpi Camera,somehwere,0,11:29:52,22/05/22
D-01,OpenMV Camera,door,in,12:06:48,22/05/22
D-01,OpenMV Camera,door,in,12:07:11,22/05/22
D-01,OpenMV Camera,door,in,12:07:32,22/05/22
D-01,OpenMV Camera,door,in,12:08:03,22/05/22
D-01,OpenMV Camera,door,in,12:08:32,22/05/22
D-01,OpenMV Camera,door,in,12:09:04,22/05/22
D-01,OpenMV Camera,door,in,12:09:38,22/05/22
D-01,OpenMV Camera,door,in,12:10:33,22/05/22
D-01,OpenMV Camera,door,out,12:11:16,22/05/22
D-01,OpenMV Camera,door,in,12:11:32,22/05/22
D-01,OpenMV Camera,door,in,12:11:42,22/05/22
D-01,OpenMV Camera,door,in,12:14:52,22/05/22
D-01,OpenMV Camera,door,in,12:15:02,22/05/22
D-01,OpenMV Camera,door,out,12:15:17,22/05/22
D-01,OpenMV Camera,door,out,12:15:25,22/05/22
D-01,OpenMV Camera,door,in,12:15:29,22/05/22
D-01,OpenMV Camera,door,in,12:15:33,22/05/22
D-01,OpenMV Camera,door,in,12:15:37,22/05/22
D-01,OpenMV Camera,door,in,12:15:43,22/05/22
D-01,OpenMV Camera,door,in,12:15:47,22/05/22
D-01,OpenMV Camera,door,in,12:15:52,22/05/22
D-01,OpenMV Camera,door,out,12:16:29,22/05/22
D-01,OpenMV Camera,door,in,12:17:13,22/05/22
D-01,OpenMV Camera,door,in,12:17:20,22/05/22
D-01,OpenMV Camera,door,in,12:17:36,22/05/22
D-01,OpenMV Camera,door,in,12:17:39,22/05/22
D-01,OpenMV Camera,door,in,12:17:56,22/05/22
S-01,Sonar,Desktop 1,ERROR,12:18:29,22/05/22
S-02,Sonar,sada,ERROR,12:18:32,22/05/22
S-03,Sonar,Desktop 3,ERROR,12:18:34,22/05/22
S-04,Sonar,desktop 4,ERROR,12:18:36,22/05/22
S-05,Sonar,sada,ERROR,12:18:39,22/05/22
S-01,Sonar,Desktop 1,ERROR,12:18:52,22/05/22
S-02,Sonar,sada,ERROR,12:18:53,22/05/22
S-03,Sonar,Desktop 3,ERROR,12:18:54,22/05/22
S-04,Sonar,desktop 4,ERROR,12:18:55,22/05/22
